R&D Spend,Administration,Marketing Spend,State,Profit
165349.200,136897.800,471784.100,New York,192261.83
162597.700,151377.590,443898.530,California,191792.1
153441.510,101145.550,407934.540,Florida,191050.4
144372.410,118671.850,383199.620,New York,182902
142107.340,91391.770,366168.420,Florida,166187.9
131876.900,99814.710,362861.360,New York,156991.12
134615.460,147198.870,127716.820,California,156122.51
130298.130,145530.060,323876.680,Florida,155752.6
120542.520,148718.950,311613.290,New York,152211.8
123334.880,108679.170,304981.620,California,149760.32
101913.080,110594.110,229160.950,Florida,146121.95
100671.960,91790.610,249744.550,California,144259.4
93863.750,127320.380,249839.440,Florida,141585.52
91992.390,135495.070,252664.930,California,134307.4
119943.240,156547.420,256512.920,Florida,132602.7
114523.610,122616.840,261776.230,New York,129917.04
78013.110,121597.550,264346.060,California,126992.93
94657.160,145077.580,282574.310,New York,125370.37
91749.160,114175.790,294919.570,Florida,124266.9
86419.700,153514.110,0.000,New York,122776.9
76253.860,113867.300,298664.470,California,118474.03
78389.470,153773.430,299737.290,New York,111313.02
73994.560,122782.750,303319.260,Florida,110352.53
67532.530,105751.030,304768.730,New York,108733.99
77044.010,99281.340,140574.810,California,108552.04
64664.710,139553.160,137962.620,California,107404.34
75328.870,144135.980,134050.070,Florida,105733.54
72107.600,127864.550,353183.810,New York,105008.3
66051.520,182645.560,118148.200,Florida,103282.4
65605.480,153032.060,107138.380,New Yok,101004.6
61994.480,115641.280,91131.240,Florida,99937.59
61136.380,152701.920,88218.230,New York,97483.56
63408.860,129219.610,46085.250,California,97427.84
55493.950,103057.490,214634.810,Florida,96778.92
46426.070,157693.920,210797.670,California,96712.8
46014.020,85047.440,205517.640,New York,96479.51
28663.760,127056.210,201126.820,Florida,90708.19
44069.950,51283.140,197029.420,California,89949.14
20229.590,65947.930,185265.100,New York,81229.06
38558.510,82982.090,174999.300,California,81005.76
28754.330,118546.050,172795.670,California,78239.91
27892.920,84710.770,164470.710,Florida,77798.83
23640.930,96189.630,148001.110,California,71498.49
15505.730,127382.300,35534.170,New York,69758.98
22177.740,154806.140,28334.720,California,65200.33
1000.230,124153.040,1903.930,New York,64926.08
1315.460,115816.210,297114.460,Florida,49490.75
0.000,135426.920,0.000,California,42559.73
542.050,51743.150,0.000,New York,35673.41
0.000,116983.800,45173.060,California,14681.4
